Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
1804	APC LIMPIADOR MULTIPROPOSITO 	$2270.00	$4000.00	$0.00	5.00	0.000	- Sin Departamento -
 ARA123	ARANDERA ANONIZADAS X 10 COLORES 	$3840.00	$6000.00	$0.00	48.00	0.000	- Sin Departamento -
1003358	ARBOL DE LEVA CG 125 RX SKUA	$10760.00	$18300.00	$0.00	2.00	1	- Sin Departamento -
 CKM0601	ARBOL DE LEVA H BIZ 125 C/DESCOMPRESOR 	$8930.00	$15200.00	$0.00	3.00	0.000	- Sin Departamento -
 ARLBIZ	ARBOL DE LEVA H. BIZ WAVE C/DESCOMPRESOR 	$12530.00	$20000.00	$0.00	1.00	0.000	- Sin Departamento -
1004166	ARBOL DE LEVA LARGO SMASH FORTE	$7150.00	$12500.00	$0.00	3.00	0.000	- Sin Departamento -
 8406V	ARBOL DE LEVA LARGO SMASH OSAKA 	$5430.00	$9800.00	$0.00	1.00	0.000	- Sin Departamento -
1114	ARBOL DE LEVA RX 150 	$11700.00	$18800.00	$0.00	0.00	0.000	- Sin Departamento -
1004548	ARBOL DE LEVA SMASH 110 CORTO FORTE	$6225.00	$11200.00	$0.00	3.00	1	- Sin Departamento -
1004557	ARBOL DE LEVA SMASH CON FRENO O DESCOMPRESOR FORTE	$4700.00	$17130.00	$0.00	1.00	1	- Sin Departamento -
 CKM0065	ARBOL DE LEVA SMASH CORTO CKM	$8060.00	$13000.00	$0.00	0.00	0.000	- Sin Departamento -
 Z033261	ARBOL DE LEVA SMASH CORTO FAR SIN DESCOMPRESOR 	$8450.00	$16500.00	$0.00	0.00	0.000	- Sin Departamento -
1326	ARBOL DE LEVA SMASH LARGO CKM	$6570.00	$11500.00	$0.00	1.00	0.000	- Sin Departamento -
 ARB021	ARBOL DE LEVA WAVE NEW 	$14305.00	$22900.00	$0.00	2.00	0.000	- Sin Departamento -
 PG105800009	ARBOL DE LEVA YAMAHA CRYPTON/YBR PAG	$12345.00	$19800.00	$0.00	1.00	0.000	- Sin Departamento -
 KITCG	ARBOL DE LEVAS ZANELLA RX 150 TITAN 3PCS	$9070.00	$15500.00	$0.00	2.00	0.000	- Sin Departamento -
1641	ARCO POSA PIE CRYPTON 100	$7000.00	$11200.00	$0.00	2.00	0.000	- Sin Departamento -
1261	ARCO POSA PIE GILERA SMASH 110	$5880.00	$11000.00	$0.00	8.00	0.000	- Sin Departamento -
 CPNW	ARCO POSA PIE NEW WAVE S 110	$11000.00	$15950.00	$0.00	1.00	0.000	- Sin Departamento -
1394	ARCO POSA PIE TITAN 150	$4850.00	$9500.00	$0.00	0.00	0.000	- Sin Departamento -
1640	ARCO POSA PIE WAVE 	$6370.00	$11200.00	$0.00	0.00	0.000	- Sin Departamento -
1521	AROS 0,25MM YBR 125	$3380.00	$5700.00	$0.00	3.00	0.000	- Sin Departamento -
1522	AROS 0,50MM YBR 125	$3380.00	$5700.00	$0.00	3.00	0.000	- Sin Departamento -
1523	AROS 1,00MM YBR 125 	$3380.00	$5700.00	$0.00	3.00	0.000	- Sin Departamento -
1244	AROS 1,50 SMASH OSAKA	$1500.00	$3500.00	$0.00	2.00	0.000	- Sin Departamento -
1604	AROS 1,50MM SMASH FORTE 	$2600.00	$4500.00	$0.00	1.00	0.000	- Sin Departamento -
1489	AROS 1,75 SMASH FORTE 	$2340.00	$4300.00	$0.00	0.00	0.000	- Sin Departamento -
1245	AROS 1,75 SMASH OSAKA	$1600.00	$2800.00	$0.00	0.00	0.000	- Sin Departamento -
1243	AROS 1.25 SMASH OKINOI 	$3380.00	$6000.00	$0.00	5.00	0.000	- Sin Departamento -
1276	AROS 110 2.00MM OSAKA 	$1490.00	$3500.00	$0.00	3.00	0.000	- Sin Departamento -
1387	AROS DE PISTON 0.25 CRYPTON NEW 	$1890.00	$3400.00	$0.00	5.00	0.000	- Sin Departamento -
1388	AROS DE PISTON 0.50 CRYPTON NEW 	$1890.00	$3400.00	$0.00	4.00	0.000	- Sin Departamento -
